iter	Passed	Remaining
0	62	31200
1	113	28196
2	162	26903
3	209	25963
4	259	25688
5	307	25292
6	356	25124
7	402	24765
8	451	24609
9	495	24294
10	543	24179
11	586	23847
12	627	23508
13	670	23291
14	722	23349
15	765	23143
16	815	23176
17	864	23145
18	907	22982
19	953	22875
20	997	22742
21	1047	22765
22	1104	22904
23	1167	23155
24	1209	22974
25	1250	22793
26	1305	22870
27	1352	22806
28	1401	22760
29	1451	22736
30	1498	22677
31	1540	22531
32	1587	22463
33	1639	22469
34	1691	22475
35	1742	22454
36	1792	22427
37	1843	22418
38	1894	22399
39	1941	22330
40	1991	22297
41	2041	22265
42	2092	22239
43	2139	22177
44	2185	22093
45	2234	22052
46	2284	22018
47	2337	22008
48	2389	21993
49	2438	21947
50	2489	21915
51	2539	21878
52	2592	21861
53	2632	21746
54	2681	21697
55	2732	21663
56	2783	21634
57	2837	21622
58	2879	21520
59	2925	21452
60	2969	21369
61	3009	21263
62	3061	21236
63	3112	21203
64	3160	21148
65	3201	21049
66	3246	20983
67	3289	20900
68	3329	20796
69	3380	20763
70	3421	20673
71	3462	20584
72	3511	20541
73	3559	20491
74	3605	20430
75	3658	20410
76	3700	20326
77	3747	20276
78	3796	20233
79	3844	20183
80	3894	20146
81	3937	20069
82	3981	20005
83	4020	19909
84	4068	19863
85	4110	19789
86	4157	19736
87	4200	19663
88	4243	19595
89	4293	19557
90	4341	19512
91	4390	19472
92	4436	19416
93	4479	19345
94	4521	19275
95	4564	19206
96	4605	19132
97	4645	19057
98	4691	19004
99	4731	18924
100	4775	18864
101	4823	18820
102	4863	18747
103	4903	18671
104	4947	18610
105	4984	18528
106	5027	18464
107	5066	18390
108	5111	18334
109	5157	18284
110	5204	18239
111	5250	18190
112	5297	18142
113	5345	18099
114	5394	18059
115	5440	18008
116	5491	17976
117	5537	17926
118	5587	17888
119	5629	17828
120	5678	17786
121	5728	17748
122	5772	17694
123	5825	17663
124	5866	17598
125	5905	17530
126	5950	17475
127	5997	17429
128	6040	17371
129	6083	17314
130	6130	17268
131	6177	17220
132	6221	17166
133	6266	17116
134	6308	17056
135	6348	16990
136	6390	16931
137	6430	16867
138	6473	16812
139	6512	16746
140	6555	16691
141	6600	16641
142	6650	16603
143	6695	16553
144	6744	16512
145	6786	16454
146	6837	16418
147	6883	16371
148	6924	16312
149	6968	16260
150	7013	16210
151	7057	16158
152	7097	16096
153	7138	16038
154	7175	15970
155	7217	15914
156	7263	15869
157	7308	15820
158	7350	15763
159	7393	15710
160	7436	15658
161	7482	15610
162	7524	15556
163	7570	15510
164	7628	15487
165	7671	15435
166	7717	15388
167	7758	15331
168	7802	15282
169	7842	15223
170	7888	15176
171	7931	15125
172	7972	15069
173	8024	15035
174	8070	14988
175	8111	14932
176	8151	14874
177	8193	14822
178	8235	14768
179	8275	14711
180	8314	14653
181	8354	14596
182	8392	14538
183	8438	14492
184	8484	14446
185	8534	14408
186	8581	14362
187	8627	14318
188	8676	14277
189	8720	14228
190	8768	14185
191	8814	14139
192	8855	14086
193	8895	14030
194	8938	13980
195	8982	13931
196	9028	13886
197	9072	13837
198	9123	13799
199	9168	13752
200	9209	13700
201	9255	13654
202	9297	13602
203	9367	13591
204	9410	13542
205	9452	13490
206	9489	13431
207	9532	13381
208	9571	13326
