iter	Passed	Remaining
0	81	40471
1	156	39075
2	235	38936
3	309	38342
4	381	37752
5	456	37618
6	532	37480
7	611	37588
8	686	37473
9	763	37430
10	848	37707
11	957	38946
12	1037	38871
13	1112	38606
14	1183	38280
15	1263	38212
16	1340	38072
17	1414	37884
18	1487	37649
19	1558	37393
20	1628	37142
21	1701	36969
22	1777	36859
23	1851	36731
24	1926	36609
25	1994	36363
26	2060	36098
27	2127	35861
28	2193	35626
29	2263	35467
30	2334	35313
31	2399	35099
32	2469	34940
33	2535	34744
34	2600	34550
35	2669	34410
36	2738	34273
37	2806	34119
38	2875	33990
39	2944	33858
40	3011	33711
41	3077	33559
42	3145	33425
43	3211	33286
44	3284	33207
45	3362	33191
46	3432	33085
47	3500	32967
48	3568	32840
49	3639	32751
50	3704	32610
51	3769	32479
52	3835	32352
53	3911	32302
54	3982	32225
55	4055	32156
56	4124	32056
57	4191	31945
58	4258	31833
59	4327	31735
60	4394	31626
61	4470	31578
62	4555	31601
63	4636	31587
64	4702	31473
65	4770	31371
66	4836	31256
67	4903	31150
68	4970	31046
69	5039	30958
70	5110	30878
71	5180	30797
72	5247	30695
73	5315	30600
74	5387	30526
75	5460	30462
76	5531	30388
77	5601	30305
78	5670	30221
79	5738	30128
80	5806	30037
81	5870	29925
82	5936	29824
83	6001	29719
84	6064	29609
85	6128	29504
86	6200	29433
87	6269	29351
88	6335	29257
89	6400	29155
90	6464	29054
91	6530	28961
92	6595	28865
93	6661	28773
94	6734	28708
95	6805	28640
96	6882	28593
97	6960	28550
98	7024	28454
99	7090	28361
100	7155	28267
101	7219	28168
102	7287	28090
103	7359	28022
104	7429	27949
105	7496	27863
106	7559	27766
107	7624	27672
108	7686	27572
109	7748	27473
110	7814	27386
111	7877	27291
112	7943	27204
113	8009	27120
114	8074	27030
115	8136	26934
116	8198	26836
117	8262	26746
118	8324	26653
119	8388	26562
120	8452	26476
121	8517	26389
122	8581	26302
123	8646	26218
124	8713	26141
125	8785	26077
126	8861	26025
127	8936	25970
128	9009	25910
129	9077	25835
130	9144	25758
131	9214	25689
132	9284	25619
133	9350	25539
134	9416	25458
135	9481	25375
136	9547	25296
137	9619	25234
138	9693	25175
139	9765	25111
140	9837	25046
141	9904	24969
142	9971	24893
143	10041	24824
144	10111	24754
145	10180	24684
146	10248	24611
147	10332	24574
148	10416	24538
149	10478	24450
150	10542	24365
151	10605	24280
152	10672	24204
153	10739	24129
